episode,reward,discounted_reward,steps,distance_traveled
289,-300.7499243183675,-179.72595123240006,85,224.50793
290,-301.70315161352664,-185.30879010542915,83,224.46146
291,-300.19315547620835,-184.7958488526451,80,270.69077
292,-305.08568160680585,-188.37993081441869,79,256.60324
293,-309.0686656660999,-189.78309037363817,78,267.8833
294,-306.94692251980393,-193.9724115478874,77,283.8162
295,-309.72973394919313,-187.08152818066688,81,237.92029
296,-302.09979729777956,-190.998190027708,75,286.13837
297,-302.20151350096955,-186.53098538446363,81,275.40866
298,-300.6521053954386,-186.74387078892784,83,284.38138
299,-310.56074162463386,-184.24548238164581,91,252.732
300,-300.7314856859524,-186.57950856990126,80,320.35425
301,-302.2257104167797,-183.76179291870574,85,334.0888
302,-300.7983217930515,-166.67614081440007,155,388.72733
303,-305.48122778674093,-180.21961955139898,80,307.99237
304,-306.6441226393592,-183.09056446073163,79,311.9042
305,-303.9347589094304,-150.68348561996072,186,469.77814
306,-302.4423591426092,-187.43623987801794,75,345.15634
307,-305.23140729411693,-190.8531171854132,72,353.97345
308,-300.11026914740034,-188.20192392768507,71,336.3728
309,-300.96717302352636,-149.4441000984156,187,491.19183
310,-303.15332459618935,-189.3121062211744,71,369.52252
311,-309.0297357791675,-190.95207534806136,73,365.94366
312,-304.8592363113623,-190.06717946108077,72,372.42493
313,-305.7408225296506,-190.82637698762676,72,356.05234
314,-308.4957442431263,-190.31587367731737,73,370.92218
315,-305.54305672748325,-186.15517092884554,76,338.2017
316,-306.21705724395207,-188.2354785481047,75,345.92743
317,-301.5353800172352,-185.52129950741224,77,349.69135
318,-304.9419896700535,-189.3580427864706,74,367.12967
319,-305.7155185161922,-187.60355542951132,74,345.67056
320,-309.48005830138396,-182.21615062085615,81,329.70612
321,-301.2239410826325,-185.71285113835725,80,344.719
322,-303.613383974374,-188.70711842966796,73,336.40646
323,-304.71262983475214,-185.37252114009488,76,333.06293
324,-300.0970545635921,-172.8296877127612,136,365.81805
325,-301.03536572489855,-174.13057343591842,107,556.00183
326,-304.1503223776425,-140.78896674356426,197,405.069
327,-302.1104608305835,-146.93154230854248,203,377.40247
328,-305.54449678907355,-148.06216066495944,171,711.1192
329,-300.0193708059785,-169.19930035365843,117,574.6095
330,-301.54810728500604,-145.57282171651343,203,368.82275
