episode,reward,steps,distance_traveled,steps_in_target_lane,avg_speed_diff,speed_deviation_ratio,fail_mode
224,556.9816,200,1936.9387,182,1.7925959,0.025,0
225,424.4123,90,904.55896,85,1.8494154,0.05555555555555555,1
226,672.2994,134,1333.8591,129,1.3766505,0.03731343283582089,1
227,153.39233,38,384.31262,38,1.073172,0.0,1
228,981.8299,200,1976.148,185,1.1340094,0.025,0
229,775.02234,181,1805.3802,175,2.0334523,0.022099447513812154,1
230,1069.9784,200,1995.686,198,1.0663416,0.005,0
231,423.89124,90,906.32434,85,1.8457062,0.05555555555555555,1
232,912.97253,200,1984.5818,185,1.759648,0.02,0
233,784.47284,200,1926.9772,190,2.0811317,0.0,0
234,16.506172,200,1895.9235,178,4.3015985,0.035,0
235,646.8561,200,2030.9575,182,2.8002982,0.095,0
236,208.64505,59,579.8705,53,3.1020792,0.01694915254237288,1
237,461.5959,118,1178.4359,112,2.660615,0.01694915254237288,1
238,509.25613,185,1822.5709,172,1.7571595,0.021621621621621623,1
239,385.6941,200,1929.0333,179,2.80715,0.08,0
240,222.1079,52,512.46826,52,1.7191046,0.0,1
241,299.51764,65,656.626,64,0.9340183,0.0,1
242,139.79617,41,412.65668,36,3.6863654,0.12195121951219512,1
243,891.8906,200,1930.7019,195,2.1218784,0.06,0
244,517.5343,200,1970.98,181,2.6072662,0.005,0
245,373.86044,97,929.18726,92,4.052516,0.061855670103092786,1
246,594.54114,200,1969.4312,184,1.4095978,0.0,0
247,655.7769,200,1901.7053,182,3.554439,0.12,0
248,70.125206,15,145.24771,15,1.5509044,0.0,1
249,41.76573,9,87.47371,9,1.4549565,0.0,1
250,799.48224,184,1782.7013,175,2.3080332,0.0,1
251,52.62171,18,173.37613,18,1.6207496,0.0,1
252,883.6001,200,1927.5815,185,1.9273034,0.04,0
253,691.1871,182,1783.6622,172,2.179902,0.016483516483516484,1
254,752.3759,167,1578.5363,167,2.6424222,0.0,1
255,378.42776,84,850.5685,83,1.4734819,0.0,1
256,151.53708,44,435.94373,39,2.152601,0.06818181818181818,1
257,153.30963,58,585.00006,53,2.9734025,0.08620689655172414,1
258,829.5878,200,1986.9966,191,1.9350853,0.0,0
259,343.42096,76,763.6993,71,1.9815404,0.06578947368421052,1
260,974.20416,200,2017.4993,195,0.83441603,0.0,0
261,-48.127457,200,2006.1965,178,4.329575,0.11,0
262,45.534664,29,266.97748,24,5.0295663,0.034482758620689655,1
263,66.735016,29,280.4619,24,4.2637596,0.13793103448275862,1
264,83.1556,19,181.39056,19,2.2074902,0.0,1
265,271.25555,67,667.17633,62,2.0013864,0.08955223880597014,1
266,188.54977,44,439.7138,44,0.473017,0.0,1
267,353.5483,200,1856.4723,187,5.1098766,0.17,0
268,182.69632,48,481.36755,47,0.8071811,0.0,1
269,868.4322,200,1960.8137,183,2.1599233,0.045,0
270,489.7658,96,944.1196,96,1.5156609,0.0,1
271,368.51996,93,898.5621,90,2.243847,0.0,1
272,122.02791,40,396.32272,39,0.451099,0.0,1
273,157.99268,51,508.74414,46,2.4589374,0.058823529411764705,1
274,1015.2483,200,2009.822,195,0.71966714,0.0,0
275,34.176548,15,159.11111,15,3.662213,0.0,1
276,326.19354,84,812.89526,79,3.011564,0.011904761904761904,1
277,160.44913,65,660.84235,60,4.9223795,0.015384615384615385,1
278,354.70435,200,1792.8967,180,3.5658014,0.105,0
279,604.1372,140,1397.6514,137,1.1719648,0.0,1
280,116.08794,35,343.81726,30,2.6668155,0.08571428571428572,1
281,60.012413,19,193.5394,19,1.7676567,0.0,1
282,496.33,103,1037.9734,98,1.8297338,0.04854368932038835,1
283,121.98257,34,340.11252,34,0.66699916,0.0,1
284,140.46645,38,380.52066,38,0.8477714,0.0,1
285,694.204,200,1923.3718,182,2.3431242,0.03,0
286,408.7406,184,1746.3767,171,2.7876875,0.059782608695652176,1
287,106.538025,37,348.5778,33,3.249054,0.08108108108108109,1
288,33.480724,11,106.28122,11,1.5027757,0.0,1
289,524.65234,111,1118.4478,106,1.7854688,0.04504504504504504,1
290,255.14629,57,559.9389,57,0.66129607,0.0,1
291,553.54694,101,1006.3274,101,0.90852416,0.0,1
292,506.868,200,2002.864,180,2.367626,0.045,0
293,138.01892,51,472.34552,46,5.117596,0.0784313725490196,1
294,984.7336,200,2015.4775,195,0.8197306,0.0,0
295,47.33691,83,838.0797,74,2.4825876,0.0,1
296,450.26535,83,815.7542,83,1.3391696,0.0,1
297,989.9143,200,2005.4336,198,1.7384442,0.0,0
298,161.9559,200,2004.0852,177,2.1537223,0.015,0
299,-157.46442,36,334.006,28,4.0624676,0.1111111111111111,1
