episode,reward,discounted_reward,steps,distance_traveled
85,-459.484155935733,-285.893742103245,80,844.4132
86,-452.46369649008744,-279.60413864539044,88,129.16371
87,-457.44422576936626,-316.65626575498686,66,22.120438
88,-452.5644801394962,-325.1789149310054,62,6.011833
89,-452.4823640618788,-274.25657652737095,89,206.0039
90,-452.82375160764934,-281.34014113234934,79,223.59915
91,-454.00786858227696,-313.36730157388087,76,153.9603
92,-450.4807778652643,-364.88078591357356,45,1.1053162
93,-454.8467867761341,-305.30245292055923,103,1043.0305
94,-452.2999815806499,-352.82349885714,62,51.83078
95,-459.83201484241056,-335.14030746465704,49,-83.37268
96,-456.30782423983146,-323.54734808909444,64,30.701736
97,-452.5257916253518,-305.5672835884915,64,-80.75838
98,-459.51506095446604,-341.6600011953652,50,13.666908
99,-454.9098959124039,-351.3940501685003,47,-7.1715546
100,-450.12028464244617,-322.23924549469837,65,-54.09786
101,-450.83675430313855,-299.1877050594849,68,35.78183
102,-451.49939621137895,-289.9425147336592,82,209.95416
103,-458.6629994593343,-278.40901151586996,86,236.81012
104,-451.5106369942385,-338.6209102518788,52,14.963051
105,-454.620523718499,-268.56812371248725,110,508.22626
106,-451.20510930644616,-295.03074985391356,87,358.90735
107,-453.4358667788773,-361.1777644450703,39,-415.5739
108,-450.1499365575448,-303.9438080889559,68,35.56021
109,-452.2798554375892,-356.0006947111324,43,-7.006027
110,-463.86422754699333,-302.64096396290495,64,113.09296
111,-462.1949956595013,-328.092052840186,59,15.255211
112,-452.78729543094835,-344.3213048481925,50,-393.2897
113,-452.7624644792276,-327.48451276064867,69,91.61995
114,-456.3853886623861,-300.3607736360241,61,-86.0051
115,-451.01577903885124,-296.31940031266413,74,505.5547
