episode,steps,reward,discounted_reward,steps,distance_traveled
770,38534,-509.8651479104682,-297.6316356018723,50,-183.86345672607422
780,39158,-564.8583277316416,-123.97661091388387,89,266.15167236328125
790,39747,-514.116515876412,-168.1982791608621,90,240.7601318359375
800,40297,-516.6567180113356,-292.18714851399415,48,73.66218566894531
810,40869,-527.1729093604744,-299.82684645873246,44,345.31719970703125
820,41507,-507.8854799959813,-322.4073054284435,41,-37.84054183959961
830,42072,-503.1894367051674,-241.33785903201257,60,50.12721252441406
840,42688,-500.5049610097197,-218.97196139489927,77,352.8543395996094
850,43241,-503.01568386428096,-194.37712239047377,86,328.54437255859375
860,43688,-504.60350797876384,-220.2193698736304,67,6.3831634521484375
870,44194,-501.96560847353476,-227.32789281843603,75,461.21734619140625
880,44809,-503.370481711334,-215.23551745095426,72,184.13119506835938
890,45255,-510.16609280763544,-319.4535343180127,41,-292.6699981689453
900,45829,-542.1377731050143,-222.33278167226655,72,360.67974853515625
910,46413,-542.8648091417147,-318.0125781872358,32,168.40737915039062
920,46856,-535.3313485571906,-383.390590833151,21,101.79829406738281
930,47363,-501.0990992556817,-300.16687336035994,55,82.39302062988281
940,47885,-514.2524143102617,-257.64159730950985,65,204.91281127929688
950,48389,-569.8232524912023,-405.1151744106018,22,21.10773468017578
